Date,SKU,Product Name,City,Sales
2025-01-04,V004,LTA Wise City,Mumbai,22
2025-01-04,V005,HIFA 2023,Mumbai,268
2025-01-04,S001,Abibas Football,Mumbai,22
2025-01-04,S002,Rural Terrain Cycles,Mumbai,14
2025-01-04,S003,Monex Badminton Rackets,Mumbai,44
2025-01-04,S004,Yoga Mattress,Mumbai,40
2025-01-04,S005,Rocky Gym Set,Mumbai,21
2025-01-04,ME001,Pyllum Trimmers,Mumbai,4
2025-01-04,ME002,Softcare Electric Toothbrush,Mumbai,21
2025-01-04,ME003,Leg Messager,Mumbai,16
2025-01-04,ME004,NoFat Weighing Scale,Mumbai,12
2025-01-04,ME005,Screw Activity Watch,Mumbai,16
2025-01-04,K001,SureIt Purifier,Mumbai,20
2025-01-04,K002,Parrot Induction Stove,Mumbai,14
2025-01-04,K003,Jalepenoware Tiffin,Mumbai,44
2025-01-04,K004,Yamaka Rex 5000W Mixer Grinder,Mumbai,4
2025-01-04,K005,Mr.Clean Dishwasher,Mumbai,44
2025-01-04,H001,Blessing Atta 10kg pack,Mumbai,69
2025-01-04,H002,Amazing CornFlakes,Mumbai,113
2025-01-04,H003,Tata Yellow Label,Mumbai,91
2025-01-04,H004,Descafe Gold Blend coffee,Mumbai,153
2025-01-04,H005,Handmade Basmati Rice,Mumbai,173
2025-01-04,P001,Podigree Dog Food,Mumbai,32
2025-01-04,P002,Matty Dog Bed,Mumbai,73
2025-01-04,P003,Park Range Pet Shampoo,Mumbai,13
2025-01-04,P004,Old Mint Pet Shampoos,Mumbai,4
2025-01-04,P005,Reflective Dog RainCoat,Mumbai,125
2025-01-04,G001,Crafting Chandlar,Mumbai,18
2025-01-04,G002,Desi Kurti,Mumbai,54
2025-01-04,G003,Family Cake and Card Combo,Mumbai,80
2025-01-04,G004,Exact Flower Vase,Mumbai,35
2025-01-04,G005,Friends Dinner Set,Mumbai,80
2025-01-05,F001,Prateek England,Mumbai,17
2025-01-05,F002,Lucy Phillepe,Mumbai,4
2025-01-05,F003,Badlands,Mumbai,62
2025-01-05,F004,Allen Dolly,Mumbai,41
2025-01-05,F005,Bucchi,Mumbai,32
2025-01-05,M001,Jhaomi,Mumbai,40
2025-01-05,M002,Samson,Mumbai,36
2025-01-05,M003,Mokia,Mumbai,39
2025-01-05,M004,Hotorola,Mumbai,35
2025-01-05,M005,2plus,Mumbai,39
2025-01-05,B001,Harry putar,Mumbai,69
2025-01-05,B002,4 states,Mumbai,54
2025-01-05,B003,Shaktiman Returns,Mumbai,10
2025-01-05,B004,Goli's Travel,Mumbai,28
2025-01-05,B005,Story of Your Life,Mumbai,44
2025-01-05,V001,Prince of Dholakpur,Mumbai,171
2025-01-05,V002,Nario,Mumbai,23
2025-01-05,V003,Pacman,Mumbai,126
2025-01-05,V004,LTA Wise City,Mumbai,62
2025-01-05,V005,HIFA 2023,Mumbai,17
2025-01-05,S001,Abibas Football,Mumbai,57
2025-01-05,S002,Rural Terrain Cycles,Mumbai,29
2025-01-05,S003,Monex Badminton Rackets,Mumbai,0
2025-01-05,S004,Yoga Mattress,Mumbai,14
2025-01-05,S005,Rocky Gym Set,Mumbai,34
2025-01-05,ME001,Pyllum Trimmers,Mumbai,9
2025-01-05,ME002,Softcare Electric Toothbrush,Mumbai,8
2025-01-05,ME003,Leg Messager,Mumbai,5
2025-01-05,ME004,NoFat Weighing Scale,Mumbai,8
2025-01-05,ME005,Screw Activity Watch,Mumbai,5
2025-01-05,K001,SureIt Purifier,Mumbai,44
2025-01-05,K002,Parrot Induction Stove,Mumbai,18
2025-01-05,K003,Jalepenoware Tiffin,Mumbai,35
2025-01-05,K004,Yamaka Rex 5000W Mixer Grinder,Mumbai,56
2025-01-05,K005,Mr.Clean Dishwasher,Mumbai,47
2025-01-05,H001,Blessing Atta 10kg pack,Mumbai,283
2025-01-05,H002,Amazing CornFlakes,Mumbai,156
2025-01-05,H003,Tata Yellow Label,Mumbai,82
2025-01-05,H004,Descafe Gold Blend coffee,Mumbai,161
2025-01-05,H005,Handmade Basmati Rice,Mumbai,63
2025-01-05,P001,Podigree Dog Food,Mumbai,26
2025-01-05,P002,Matty Dog Bed,Mumbai,80
2025-01-05,P003,Park Range Pet Shampoo,Mumbai,80
2025-01-05,P004,Old Mint Pet Shampoos,Mumbai,14
2025-01-05,P005,Reflective Dog RainCoat,Mumbai,26
2025-01-05,G001,Crafting Chandlar,Mumbai,27
2025-01-05,G002,Desi Kurti,Mumbai,12
2025-01-05,G003,Family Cake and Card Combo,Mumbai,40
2025-01-05,G004,Exact Flower Vase,Mumbai,118
2025-01-05,G005,Friends Dinner Set,Mumbai,114
2025-01-06,F001,Prateek England,Mumbai,19
2025-01-06,F002,Lucy Phillepe,Mumbai,10
2025-01-06,F003,Badlands,Mumbai,67
2025-01-06,F004,Allen Dolly,Mumbai,56
2025-01-06,F005,Bucchi,Mumbai,30
2025-01-06,M001,Jhaomi,Mumbai,0
2025-01-06,M002,Samson,Mumbai,4
2025-01-06,M003,Mokia,Mumbai,31
2025-01-06,M004,Hotorola,Mumbai,39
2025-01-06,M005,2plus,Mumbai,40
2025-01-06,B001,Harry putar,Mumbai,34
2025-01-06,B002,4 states,Mumbai,66
2025-01-06,B003,Shaktiman Returns,Mumbai,81
2025-01-06,B004,Goli's Travel,Mumbai,73
2025-01-06,B005,Story of Your Life,Mumbai,33
2025-01-06,V001,Prince of Dholakpur,Mumbai,28
2025-01-06,V002,Nario,Mumbai,5
2025-01-06,V003,Pacman,Mumbai,96
2025-01-06,V004,LTA Wise City,Mumbai,17
2025-01-06,V005,HIFA 2023,Mumbai,4
2025-01-06,S001,Abibas Football,Mumbai,25
2025-01-06,S002,Rural Terrain Cycles,Mumbai,21
2025-01-06,S003,Monex Badminton Rackets,Mumbai,10
2025-01-06,S004,Yoga Mattress,Mumbai,71
2025-01-06,S005,Rocky Gym Set,Mumbai,19
2025-01-06,ME001,Pyllum Trimmers,Mumbai,9
2025-01-06,ME002,Softcare Electric Toothbrush,Mumbai,9
2025-01-06,ME003,Leg Messager,Mumbai,2
2025-01-06,ME004,NoFat Weighing Scale,Mumbai,31
2025-01-06,ME005,Screw Activity Watch,Mumbai,8
2025-01-06,K001,SureIt Purifier,Mumbai,5
2025-01-06,K002,Parrot Induction Stove,Mumbai,18
2025-01-06,K003,Jalepenoware Tiffin,Mumbai,1
2025-01-06,K004,Yamaka Rex 5000W Mixer Grinder,Mumbai,9
2025-01-06,K005,Mr.Clean Dishwasher,Mumbai,12
2025-01-06,H001,Blessing Atta 10kg pack,Mumbai,21
2025-01-06,H002,Amazing CornFlakes,Mumbai,13
2025-01-06,H003,Tata Yellow Label,Mumbai,92
2025-01-06,H004,Descafe Gold Blend coffee,Mumbai,218
2025-01-06,H005,Handmade Basmati Rice,Mumbai,76
2025-01-06,P001,Podigree Dog Food,Mumbai,108
2025-01-06,P002,Matty Dog Bed,Mumbai,77
2025-01-06,P003,Park Range Pet Shampoo,Mumbai,128
2025-01-06,P004,Old Mint Pet Shampoos,Mumbai,141
2025-01-06,P005,Reflective Dog RainCoat,Mumbai,72
2025-01-06,G001,Crafting Chandlar,Mumbai,38
2025-01-06,G002,Desi Kurti,Mumbai,64
2025-01-06,G003,Family Cake and Card Combo,Mumbai,111
2025-01-06,G004,Exact Flower Vase,Mumbai,102
2025-01-06,G005,Friends Dinner Set,Mumbai,29
2025-01-07,F001,Prateek England,Mumbai,62
2025-01-07,F002,Lucy Phillepe,Mumbai,10
2025-01-07,F003,Badlands,Mumbai,56
2025-01-07,F004,Allen Dolly,Mumbai,35
2025-01-07,F005,Bucchi,Mumbai,21
2025-01-07,M001,Jhaomi,Mumbai,34
2025-01-07,M002,Samson,Mumbai,12
2025-01-07,M003,Mokia,Mumbai,6
2025-01-07,M004,Hotorola,Mumbai,1
2025-01-07,M005,2plus,Mumbai,16
2025-01-07,B001,Harry putar,Mumbai,120
2025-01-07,B002,4 states,Mumbai,30
2025-01-07,B003,Shaktiman Returns,Mumbai,64
2025-01-07,B004,Goli's Travel,Mumbai,13
2025-01-07,B005,Story of Your Life,Mumbai,38
2025-01-07,V001,Prince of Dholakpur,Mumbai,12
2025-01-07,V002,Nario,Mumbai,2
2025-01-07,V003,Pacman,Mumbai,183
2025-01-07,V004,LTA Wise City,Mumbai,48
2025-01-07,V005,HIFA 2023,Mumbai,158
2025-01-07,S001,Abibas Football,Mumbai,12
2025-01-07,S002,Rural Terrain Cycles,Mumbai,24
2025-01-07,S003,Monex Badminton Rackets,Mumbai,40
2025-01-07,S004,Yoga Mattress,Mumbai,21
2025-01-07,S005,Rocky Gym Set,Mumbai,37
2025-01-07,ME001,Pyllum Trimmers,Mumbai,14
2025-01-07,ME002,Softcare Electric Toothbrush,Mumbai,2
2025-01-07,ME003,Leg Messager,Mumbai,24
2025-01-07,ME004,NoFat Weighing Scale,Mumbai,11
2025-01-07,ME005,Screw Activity Watch,Mumbai,30
2025-01-07,K001,SureIt Purifier,Mumbai,12
2025-01-07,K002,Parrot Induction Stove,Mumbai,17
2025-01-07,K003,Jalepenoware Tiffin,Mumbai,12
2025-01-07,K004,Yamaka Rex 5000W Mixer Grinder,Mumbai,7
2025-01-07,K005,Mr.Clean Dishwasher,Mumbai,3
2025-01-07,H001,Blessing Atta 10kg pack,Mumbai,42
2025-01-07,H002,Amazing CornFlakes,Mumbai,192
2025-01-07,H003,Tata Yellow Label,Mumbai,220
2025-01-07,H004,Descafe Gold Blend coffee,Mumbai,132
2025-01-07,H005,Handmade Basmati Rice,Mumbai,157
2025-01-07,P001,Podigree Dog Food,Mumbai,42
2025-01-07,P002,Matty Dog Bed,Mumbai,112
2025-01-07,P003,Park Range Pet Shampoo,Mumbai,59
2025-01-07,P004,Old Mint Pet Shampoos,Mumbai,78
2025-01-07,P005,Reflective Dog RainCoat,Mumbai,43
2025-01-07,G001,Crafting Chandlar,Mumbai,77
2025-01-07,G002,Desi Kurti,Mumbai,121
2025-01-07,G003,Family Cake and Card Combo,Mumbai,135
2025-01-07,G004,Exact Flower Vase,Mumbai,21
2025-01-07,G005,Friends Dinner Set,Mumbai,8
2025-01-08,F001,Prateek England,Mumbai,80
2025-01-08,F002,Lucy Phillepe,Mumbai,47
2025-01-08,F003,Badlands,Mumbai,31
2025-01-08,F004,Allen Dolly,Mumbai,63
2025-01-08,F005,Bucchi,Mumbai,28
2025-01-08,M001,Jhaomi,Mumbai,40
2025-01-08,M002,Samson,Mumbai,2
2025-01-08,M003,Mokia,Mumbai,5
2025-01-08,M004,Hotorola,Mumbai,41
2025-01-08,M005,2plus,Mumbai,1
2025-01-08,B001,Harry putar,Mumbai,28
2025-01-08,B002,4 states,Mumbai,19
2025-01-08,B003,Shaktiman Returns,Mumbai,86
2025-01-08,B004,Goli's Travel,Mumbai,7
2025-01-08,B005,Story of Your Life,Mumbai,46
2025-01-08,V001,Prince of Dholakpur,Mumbai,17
2025-01-08,V002,Nario,Mumbai,35
2025-01-08,V003,Pacman,Mumbai,48
2025-01-08,V004,LTA Wise City,Mumbai,14
2025-01-08,V005,HIFA 2023,Mumbai,30
2025-01-08,S001,Abibas Football,Mumbai,70
2025-01-08,S002,Rural Terrain Cycles,Mumbai,48
2025-01-08,S003,Monex Badminton Rackets,Mumbai,39
2025-01-08,S004,Yoga Mattress,Mumbai,25
2025-01-08,S005,Rocky Gym Set,Mumbai,14
2025-01-08,ME001,Pyllum Trimmers,Mumbai,17
2025-01-08,ME002,Softcare Electric Toothbrush,Mumbai,0
2025-01-08,ME003,Leg Messager,Mumbai,17
2025-01-08,ME004,NoFat Weighing Scale,Mumbai,24
2025-01-08,ME005,Screw Activity Watch,Mumbai,3
2025-01-08,K001,SureIt Purifier,Mumbai,4
2025-01-08,K002,Parrot Induction Stove,Mumbai,25
2025-01-08,K003,Jalepenoware Tiffin,Mumbai,22
2025-01-08,K004,Yamaka Rex 5000W Mixer Grinder,Mumbai,13
2025-01-08,K005,Mr.Clean Dishwasher,Mumbai,44
2025-01-08,H001,Blessing Atta 10kg pack,Mumbai,292
2025-01-08,H002,Amazing CornFlakes,Mumbai,103
2025-01-08,H003,Tata Yellow Label,Mumbai,218
2025-01-08,H004,Descafe Gold Blend coffee,Mumbai,126
2025-01-08,H005,Handmade Basmati Rice,Mumbai,117
2025-01-08,P001,Podigree Dog Food,Mumbai,59
2025-01-08,P002,Matty Dog Bed,Mumbai,25
2025-01-08,P003,Park Range Pet Shampoo,Mumbai,17
2025-01-08,P004,Old Mint Pet Shampoos,Mumbai,103
2025-01-08,P005,Reflective Dog RainCoat,Mumbai,35
2025-01-08,G001,Crafting Chandlar,Mumbai,17
2025-01-08,G002,Desi Kurti,Mumbai,72
2025-01-08,G003,Family Cake and Card Combo,Mumbai,78
2025-01-08,G004,Exact Flower Vase,Mumbai,119
2025-01-08,G005,Friends Dinner Set,Mumbai,113
2025-01-09,F001,Prateek England,Mumbai,28
2025-01-09,F002,Lucy Phillepe,Mumbai,42
2025-01-09,F003,Badlands,Mumbai,52
2025-01-09,F004,Allen Dolly,Mumbai,62
2025-01-09,F005,Bucchi,Mumbai,37
2025-01-09,M001,Jhaomi,Mumbai,4
2025-01-09,M002,Samson,Mumbai,11
2025-01-09,M003,Mokia,Mumbai,47
2025-01-09,M004,Hotorola,Mumbai,43
2025-01-09,M005,2plus,Mumbai,8
2025-01-09,B001,Harry putar,Mumbai,3
2025-01-09,B002,4 states,Mumbai,46
2025-01-09,B003,Shaktiman Returns,Mumbai,48
2025-01-09,B004,Goli's Travel,Mumbai,65
2025-01-09,B005,Story of Your Life,Mumbai,39
2025-01-09,V001,Prince of Dholakpur,Mumbai,75
2025-01-09,V002,Nario,Mumbai,169
2025-01-09,V003,Pacman,Mumbai,36
2025-01-09,V004,LTA Wise City,Mumbai,69
2025-01-09,V005,HIFA 2023,Mumbai,187
2025-01-09,S001,Abibas Football,Mumbai,77
2025-01-09,S002,Rural Terrain Cycles,Mumbai,17
2025-01-09,S003,Monex Badminton Rackets,Mumbai,23
2025-01-09,S004,Yoga Mattress,Mumbai,18
2025-01-09,S005,Rocky Gym Set,Mumbai,6
2025-01-09,ME001,Pyllum Trimmers,Mumbai,1
2025-01-09,ME002,Softcare Electric Toothbrush,Mumbai,9
2025-01-09,ME003,Leg Messager,Mumbai,22
2025-01-09,ME004,NoFat Weighing Scale,Mumbai,5
2025-01-09,ME005,Screw Activity Watch,Mumbai,29
2025-01-09,K001,SureIt Purifier,Mumbai,3
2025-01-09,K002,Parrot Induction Stove,Mumbai,16
2025-01-09,K003,Jalepenoware Tiffin,Mumbai,0
2025-01-09,K004,Yamaka Rex 5000W Mixer Grinder,Mumbai,4
2025-01-09,K005,Mr.Clean Dishwasher,Mumbai,3
2025-01-09,H001,Blessing Atta 10kg pack,Mumbai,136
2025-01-09,H002,Amazing CornFlakes,Mumbai,105
2025-01-09,H003,Tata Yellow Label,Mumbai,155
2025-01-09,H004,Descafe Gold Blend coffee,Mumbai,96
2025-01-09,H005,Handmade Basmati Rice,Mumbai,141
2025-01-09,P001,Podigree Dog Food,Mumbai,17
2025-01-09,P002,Matty Dog Bed,Mumbai,97
2025-01-09,P003,Park Range Pet Shampoo,Mumbai,45
2025-01-09,P004,Old Mint Pet Shampoos,Mumbai,9
2025-01-09,P005,Reflective Dog RainCoat,Mumbai,20
2025-01-09,G001,Crafting Chandlar,Mumbai,57
2025-01-09,G002,Desi Kurti,Mumbai,27
2025-01-09,G003,Family Cake and Card Combo,Mumbai,165
2025-01-09,G004,Exact Flower Vase,Mumbai,50
2025-01-09,G005,Friends Dinner Set,Mumbai,119
2025-01-10,F001,Prateek England,Mumbai,72
2025-01-10,F002,Lucy Phillepe,Mumbai,22
2025-01-10,F003,Badlands,Mumbai,77
2025-01-10,F004,Allen Dolly,Mumbai,59
2025-01-10,F005,Bucchi,Mumbai,90
2025-01-10,M001,Jhaomi,Mumbai,5
2025-01-10,M002,Samson,Mumbai,44
2025-01-10,M003,Mokia,Mumbai,26
2025-01-10,M004,Hotorola,Mumbai,10
2025-01-10,M005,2plus,Mumbai,5
2025-01-10,B001,Harry putar,Mumbai,14
2025-01-10,B002,4 states,Mumbai,8
2025-01-10,B003,Shaktiman Returns,Mumbai,97
2025-01-10,B004,Goli's Travel,Mumbai,0
2025-01-10,B005,Story of Your Life,Mumbai,13
2025-01-10,V001,Prince of Dholakpur,Mumbai,2
2025-01-10,V002,Nario,Mumbai,227
2025-01-10,V003,Pacman,Mumbai,13
2025-01-10,V004,LTA Wise City,Mumbai,86
2025-01-10,V005,HIFA 2023,Mumbai,70
2025-01-10,S001,Abibas Football,Mumbai,38
2025-01-10,S002,Rural Terrain Cycles,Mumbai,22
2025-01-10,S003,Monex Badminton Rackets,Mumbai,14
2025-01-10,S004,Yoga Mattress,Mumbai,1
2025-01-10,S005,Rocky Gym Set,Mumbai,4
2025-01-10,ME001,Pyllum Trimmers,Mumbai,12
2025-01-10,ME002,Softcare Electric Toothbrush,Mumbai,6
2025-01-10,ME003,Leg Messager,Mumbai,3
2025-01-10,ME004,NoFat Weighing Scale,Mumbai,14
2025-01-10,ME005,Screw Activity Watch,Mumbai,3
2025-01-10,K001,SureIt Purifier,Mumbai,12
2025-01-10,K002,Parrot Induction Stove,Mumbai,55
2025-01-10,K003,Jalepenoware Tiffin,Mumbai,49
2025-01-10,K004,Yamaka Rex 5000W Mixer Grinder,Mumbai,52
2025-01-10,K005,Mr.Clean Dishwasher,Mumbai,11
2025-01-10,H001,Blessing Atta 10kg pack,Mumbai,218
2025-01-10,H002,Amazing CornFlakes,Mumbai,265
2025-01-10,H003,Tata Yellow Label,Mumbai,111
2025-01-10,H004,Descafe Gold Blend coffee,Mumbai,67
2025-01-10,H005,Handmade Basmati Rice,Mumbai,185
2025-01-10,P001,Podigree Dog Food,Mumbai,19
2025-01-10,P002,Matty Dog Bed,Mumbai,59
2025-01-10,P003,Park Range Pet Shampoo,Mumbai,74
2025-01-10,P004,Old Mint Pet Shampoos,Mumbai,51
2025-01-10,P005,Reflective Dog RainCoat,Mumbai,162
2025-01-10,G001,Crafting Chandlar,Mumbai,75
2025-01-10,G002,Desi Kurti,Mumbai,89
2025-01-10,G003,Family Cake and Card Combo,Mumbai,137
2025-01-10,G004,Exact Flower Vase,Mumbai,36
2025-01-10,G005,Friends Dinner Set,Mumbai,112
2025-01-11,F001,Prateek England,Mumbai,60
2025-01-11,F002,Lucy Phillepe,Mumbai,57
2025-01-11,F003,Badlands,Mumbai,82
2025-01-11,F004,Allen Dolly,Mumbai,16
2025-01-11,F005,Bucchi,Mumbai,68
2025-01-11,M001,Jhaomi,Mumbai,16
