,Date,SKU,Product Name,City,Sales,Description,Category,Price
89,2025-01-02,H005,Handmade Basmati Rice,Mumbai,4,Handmade Basmati Rice,Household  ,664
90,2025-01-02,P001,Podigree Dog Food,Mumbai,21,Podigree Dog Food,Pet Supplies,1498
91,2025-01-02,P002,Matty Dog Bed,Mumbai,12,Matty Dog Bed,Pet Supplies,5950
92,2025-01-02,P003,Park Range Pet Shampoo,Mumbai,106,Park Range Pet Shampoo,Pet Supplies,1196
93,2025-01-02,P004,Old Mint Pet Shampoos,Mumbai,45,Old Mint Pet Shampoos,Pet Supplies,1140
94,2025-01-02,P005,Reflective Dog RainCoat,Mumbai,24,Reflective Dog RainCoat,Pet Supplies,2688
95,2025-01-02,G001,Crafting Chandlar,Mumbai,74,Crafting Chandlar ,Gifting,1376
96,2025-01-02,G002,Desi Kurti,Mumbai,42,Desi Kurti,Gifting,2070
97,2025-01-02,G003,Family Cake and Card Combo,Mumbai,82,Family Cake and Card Combo,Gifting,1180
98,2025-01-02,G004,Exact Flower Vase,Mumbai,23,Exact Flower Vase,Gifting,4520
99,2025-01-02,G005,Friends Dinner Set,Mumbai,120,Friends Dinner Set,Gifting,5590
100,2025-01-03,F001,Prateek England,Mumbai,40,Prateek England,Fashion ,1104
101,2025-01-03,F002,Lucy Phillepe,Mumbai,66,Lucy Phillepe,Fashion ,2485
102,2025-01-03,F003,Badlands,Mumbai,57,Badlands,Fashion ,1425
103,2025-01-03,F004,Allen Dolly,Mumbai,47,Allen Dolly,Fashion ,2640
104,2025-01-03,F005,Bucchi,Mumbai,1,Bucchi,Fashion ,11299
105,2025-01-03,M001,Jhaomi,Mumbai,35,Jhaomi,Mobiles,32400
106,2025-01-03,M002,Samson,Mumbai,1,Samson,Mobiles,20750
107,2025-01-03,M003,Mokia,Mumbai,24,Mokia,Mobiles,12600
108,2025-01-03,M004,Hotorola,Mumbai,29,Hotorola,Mobiles,55000
109,2025-01-03,M005,2plus,Mumbai,40,2plus,Mobiles,39760
110,2025-01-03,B001,Harry putar,Mumbai,74,Harry putar ,Books,2610
111,2025-01-03,B002,4 states,Mumbai,35,4 states ,Books,892
112,2025-01-03,B003,Shaktiman Returns,Mumbai,134,Shaktiman Returns,Books,262
113,2025-01-03,B004,Goli's Travel,Mumbai,11,Goli's Travel,Books,540
114,2025-01-03,B005,Story of Your Life,Mumbai,142,Story of Your Life,Books,940
115,2025-01-03,V001,Prince of Dholakpur,Mumbai,6,Prince of Dholakpur,Video Games ,1222
116,2025-01-03,V002,Nario,Mumbai,184,Nario,Video Games ,610
117,2025-01-03,V003,Pacman,Mumbai,80,Pacman,Video Games ,112
118,2025-01-03,V004,LTA Wise City,Mumbai,30,LTA Wise City,Video Games ,3000
119,2025-01-03,V005,HIFA 2023,Mumbai,162,HIFA 2023,Video Games ,2394
120,2025-01-03,S001,Abibas Football,Mumbai,25,Abibas Football ,Sports / Fitness,3150
121,2025-01-03,S002,Rural Terrain Cycles,Mumbai,21,Rural Terrain Cycles,Sports / Fitness,13559
122,2025-01-03,S003,Monex Badminton Rackets,Mumbai,26,Monex Badminton Rackets,Sports / Fitness,5400
123,2025-01-03,S004,Yoga Mattress,Mumbai,22,Yoga Mattress,Sports / Fitness,621
124,2025-01-03,S005,Rocky Gym Set,Mumbai,16,Rocky Gym Set,Sports / Fitness,14250
125,2025-01-03,ME001,Pyllum Trimmers,Mumbai,10,Pyllum Trimmers,Medicines/Healthcare,1740
126,2025-01-03,ME002,Softcare Electric Toothbrush,Mumbai,9,Softcare Electric Toothbrush,Medicines/Healthcare,1680
127,2025-01-03,ME003,Leg Messager,Mumbai,23,Leg Messager,Medicines/Healthcare,20900
128,2025-01-03,ME004,NoFat Weighing Scale,Mumbai,9,NoFat Weighing Scale,Medicines/Healthcare,747
129,2025-01-03,ME005,Screw Activity Watch,Mumbai,14,Screw Activity Watch,Medicines/Healthcare,1302
130,2025-01-03,K001,SureIt Purifier,Mumbai,1,SureIt Purifier,Kitchen ,4200
131,2025-01-03,K002,Parrot Induction Stove,Mumbai,9,Parrot Induction Stove,Kitchen ,2415
132,2025-01-03,K003,Jalepenoware Tiffin,Mumbai,9,Jalepenoware Tiffin,Kitchen ,424
133,2025-01-03,K004,Yamaka Rex 5000W Mixer Grinder,Mumbai,11,Yamaka Rex 5000W Mixer Grinder,Kitchen ,945
134,2025-01-03,K005,Mr.Clean Dishwasher,Mumbai,23,Mr.Clean Dishwasher,Kitchen ,16140
135,2025-01-03,H001,Blessing Atta 10kg pack,Mumbai,20,Blessing Atta 10kg pack,Household  ,459
136,2025-01-03,H002,Amazing CornFlakes,Mumbai,41,Amazing CornFlakes,Household  ,178
137,2025-01-03,H003,Tata Yellow Label,Mumbai,78,Tata Yellow Label,Household  ,677
138,2025-01-03,H004,Descafe Gold Blend coffee,Mumbai,114,Descafe Gold Blend coffee,Household  ,516
139,2025-01-03,H005,Handmade Basmati Rice,Mumbai,41,Handmade Basmati Rice,Household  ,664
140,2025-01-03,P001,Podigree Dog Food,Mumbai,18,Podigree Dog Food,Pet Supplies,1498
141,2025-01-03,P002,Matty Dog Bed,Mumbai,34,Matty Dog Bed,Pet Supplies,5950
142,2025-01-03,P003,Park Range Pet Shampoo,Mumbai,2,Park Range Pet Shampoo,Pet Supplies,1196
143,2025-01-03,P004,Old Mint Pet Shampoos,Mumbai,11,Old Mint Pet Shampoos,Pet Supplies,1140
144,2025-01-03,P005,Reflective Dog RainCoat,Mumbai,6,Reflective Dog RainCoat,Pet Supplies,2688
145,2025-01-03,G001,Crafting Chandlar,Mumbai,23,Crafting Chandlar ,Gifting,1376
146,2025-01-03,G002,Desi Kurti,Mumbai,57,Desi Kurti,Gifting,2070
147,2025-01-03,G003,Family Cake and Card Combo,Mumbai,40,Family Cake and Card Combo,Gifting,1180
148,2025-01-03,G004,Exact Flower Vase,Mumbai,89,Exact Flower Vase,Gifting,4520
149,2025-01-03,G005,Friends Dinner Set,Mumbai,79,Friends Dinner Set,Gifting,5590
150,2025-01-04,F001,Prateek England,Mumbai,13,Prateek England,Fashion ,1104
151,2025-01-04,F002,Lucy Phillepe,Mumbai,14,Lucy Phillepe,Fashion ,2485
152,2025-01-04,F003,Badlands,Mumbai,89,Badlands,Fashion ,1425
153,2025-01-04,F004,Allen Dolly,Mumbai,1,Allen Dolly,Fashion ,2640
154,2025-01-04,F005,Bucchi,Mumbai,28,Bucchi,Fashion ,11299
155,2025-01-04,M001,Jhaomi,Mumbai,43,Jhaomi,Mobiles,32400
156,2025-01-04,M002,Samson,Mumbai,41,Samson,Mobiles,20750
157,2025-01-04,M003,Mokia,Mumbai,0,Mokia,Mobiles,12600
158,2025-01-04,M004,Hotorola,Mumbai,50,Hotorola,Mobiles,55000
159,2025-01-04,M005,2plus,Mumbai,20,2plus,Mobiles,39760
160,2025-01-04,B001,Harry putar,Mumbai,63,Harry putar ,Books,2610
161,2025-01-04,B002,4 states,Mumbai,31,4 states ,Books,892
162,2025-01-04,B003,Shaktiman Returns,Mumbai,27,Shaktiman Returns,Books,262
163,2025-01-04,B004,Goli's Travel,Mumbai,15,Goli's Travel,Books,540
164,2025-01-04,B005,Story of Your Life,Mumbai,46,Story of Your Life,Books,940
165,2025-01-04,V001,Prince of Dholakpur,Mumbai,193,Prince of Dholakpur,Video Games ,1222
166,2025-01-04,V002,Nario,Mumbai,1,Nario,Video Games ,610
167,2025-01-04,V003,Pacman,Mumbai,88,Pacman,Video Games ,112
168,2025-01-04,V004,LTA Wise City,Mumbai,22,LTA Wise City,Video Games ,3000
169,2025-01-04,V005,HIFA 2023,Mumbai,268,HIFA 2023,Video Games ,2394
170,2025-01-04,S001,Abibas Football,Mumbai,22,Abibas Football ,Sports / Fitness,3150
171,2025-01-04,S002,Rural Terrain Cycles,Mumbai,14,Rural Terrain Cycles,Sports / Fitness,13559
172,2025-01-04,S003,Monex Badminton Rackets,Mumbai,44,Monex Badminton Rackets,Sports / Fitness,5400
173,2025-01-04,S004,Yoga Mattress,Mumbai,40,Yoga Mattress,Sports / Fitness,621
174,2025-01-04,S005,Rocky Gym Set,Mumbai,21,Rocky Gym Set,Sports / Fitness,14250
175,2025-01-04,ME001,Pyllum Trimmers,Mumbai,4,Pyllum Trimmers,Medicines/Healthcare,1740
176,2025-01-04,ME002,Softcare Electric Toothbrush,Mumbai,21,Softcare Electric Toothbrush,Medicines/Healthcare,1680
177,2025-01-04,ME003,Leg Messager,Mumbai,16,Leg Messager,Medicines/Healthcare,20900
178,2025-01-04,ME004,NoFat Weighing Scale,Mumbai,12,NoFat Weighing Scale,Medicines/Healthcare,747
179,2025-01-04,ME005,Screw Activity Watch,Mumbai,16,Screw Activity Watch,Medicines/Healthcare,1302
180,2025-01-04,K001,SureIt Purifier,Mumbai,20,SureIt Purifier,Kitchen ,4200
181,2025-01-04,K002,Parrot Induction Stove,Mumbai,14,Parrot Induction Stove,Kitchen ,2415
182,2025-01-04,K003,Jalepenoware Tiffin,Mumbai,44,Jalepenoware Tiffin,Kitchen ,424
183,2025-01-04,K004,Yamaka Rex 5000W Mixer Grinder,Mumbai,4,Yamaka Rex 5000W Mixer Grinder,Kitchen ,945
184,2025-01-04,K005,Mr.Clean Dishwasher,Mumbai,44,Mr.Clean Dishwasher,Kitchen ,16140
185,2025-01-04,H001,Blessing Atta 10kg pack,Mumbai,69,Blessing Atta 10kg pack,Household  ,459
186,2025-01-04,H002,Amazing CornFlakes,Mumbai,113,Amazing CornFlakes,Household  ,178
187,2025-01-04,H003,Tata Yellow Label,Mumbai,91,Tata Yellow Label,Household  ,677
188,2025-01-04,H004,Descafe Gold Blend coffee,Mumbai,153,Descafe Gold Blend coffee,Household  ,516
189,2025-01-04,H005,Handmade Basmati Rice,Mumbai,173,Handmade Basmati Rice,Household  ,664
190,2025-01-04,P001,Podigree Dog Food,Mumbai,32,Podigree Dog Food,Pet Supplies,1498
191,2025-01-04,P002,Matty Dog Bed,Mumbai,73,Matty Dog Bed,Pet Supplies,5950
192,2025-01-04,P003,Park Range Pet Shampoo,Mumbai,13,Park Range Pet Shampoo,Pet Supplies,1196
193,2025-01-04,P004,Old Mint Pet Shampoos,Mumbai,4,Old Mint Pet Shampoos,Pet Supplies,1140
194,2025-01-04,P005,Reflective Dog RainCoat,Mumbai,125,Reflective Dog RainCoat,Pet Supplies,2688
195,2025-01-04,G001,Crafting Chandlar,Mumbai,18,Crafting Chandlar ,Gifting,1376
196,2025-01-04,G002,Desi Kurti,Mumbai,54,Desi Kurti,Gifting,2070
197,2025-01-04,G003,Family Cake and Card Combo,Mumbai,80,Family Cake and Card Combo,Gifting,1180
198,2025-01-04,G004,Exact Flower Vase,Mumbai,35,Exact Flower Vase,Gifting,4520
199,2025-01-04,G005,Friends Dinner Set,Mumbai,80,Friends Dinner Set,Gifting,5590
200,2025-01-05,F001,Prateek England,Mumbai,17,Prateek England,Fashion ,1104
201,2025-01-05,F002,Lucy Phillepe,Mumbai,4,Lucy Phillepe,Fashion ,2485
202,2025-01-05,F003,Badlands,Mumbai,62,Badlands,Fashion ,1425
203,2025-01-05,F004,Allen Dolly,Mumbai,41,Allen Dolly,Fashion ,2640
204,2025-01-05,F005,Bucchi,Mumbai,32,Bucchi,Fashion ,11299
205,2025-01-05,M001,Jhaomi,Mumbai,40,Jhaomi,Mobiles,32400
206,2025-01-05,M002,Samson,Mumbai,36,Samson,Mobiles,20750
207,2025-01-05,M003,Mokia,Mumbai,39,Mokia,Mobiles,12600
208,2025-01-05,M004,Hotorola,Mumbai,35,Hotorola,Mobiles,55000
209,2025-01-05,M005,2plus,Mumbai,39,2plus,Mobiles,39760
210,2025-01-05,B001,Harry putar,Mumbai,69,Harry putar ,Books,2610
211,2025-01-05,B002,4 states,Mumbai,54,4 states ,Books,892
212,2025-01-05,B003,Shaktiman Returns,Mumbai,10,Shaktiman Returns,Books,262
213,2025-01-05,B004,Goli's Travel,Mumbai,28,Goli's Travel,Books,540
214,2025-01-05,B005,Story of Your Life,Mumbai,44,Story of Your Life,Books,940
215,2025-01-05,V001,Prince of Dholakpur,Mumbai,171,Prince of Dholakpur,Video Games ,1222
216,2025-01-05,V002,Nario,Mumbai,23,Nario,Video Games ,610
217,2025-01-05,V003,Pacman,Mumbai,126,Pacman,Video Games ,112
218,2025-01-05,V004,LTA Wise City,Mumbai,62,LTA Wise City,Video Games ,3000
219,2025-01-05,V005,HIFA 2023,Mumbai,17,HIFA 2023,Video Games ,2394
220,2025-01-05,S001,Abibas Football,Mumbai,57,Abibas Football ,Sports / Fitness,3150
221,2025-01-05,S002,Rural Terrain Cycles,Mumbai,29,Rural Terrain Cycles,Sports / Fitness,13559
222,2025-01-05,S003,Monex Badminton Rackets,Mumbai,0,Monex Badminton Rackets,Sports / Fitness,5400
223,2025-01-05,S004,Yoga Mattress,Mumbai,14,Yoga Mattress,Sports / Fitness,621
224,2025-01-05,S005,Rocky Gym Set,Mumbai,34,Rocky Gym Set,Sports / Fitness,14250
225,2025-01-05,ME001,Pyllum Trimmers,Mumbai,9,Pyllum Trimmers,Medicines/Healthcare,1740
226,2025-01-05,ME002,Softcare Electric Toothbrush,Mumbai,8,Softcare Electric Toothbrush,Medicines/Healthcare,1680
227,2025-01-05,ME003,Leg Messager,Mumbai,5,Leg Messager,Medicines/Healthcare,20900
228,2025-01-05,ME004,NoFat Weighing Scale,Mumbai,8,NoFat Weighing Scale,Medicines/Healthcare,747
229,2025-01-05,ME005,Screw Activity Watch,Mumbai,5,Screw Activity Watch,Medicines/Healthcare,1302
230,2025-01-05,K001,SureIt Purifier,Mumbai,44,SureIt Purifier,Kitchen ,4200
231,2025-01-05,K002,Parrot Induction Stove,Mumbai,18,Parrot Induction Stove,Kitchen ,2415
232,2025-01-05,K003,Jalepenoware Tiffin,Mumbai,35,Jalepenoware Tiffin,Kitchen ,424
233,2025-01-05,K004,Yamaka Rex 5000W Mixer Grinder,Mumbai,56,Yamaka Rex 5000W Mixer Grinder,Kitchen ,945
234,2025-01-05,K005,Mr.Clean Dishwasher,Mumbai,47,Mr.Clean Dishwasher,Kitchen ,16140
235,2025-01-05,H001,Blessing Atta 10kg pack,Mumbai,283,Blessing Atta 10kg pack,Household  ,459
236,2025-01-05,H002,Amazing CornFlakes,Mumbai,156,Amazing CornFlakes,Household  ,178
237,2025-01-05,H003,Tata Yellow Label,Mumbai,82,Tata Yellow Label,Household  ,677
238,2025-01-05,H004,Descafe Gold Blend coffee,Mumbai,161,Descafe Gold Blend coffee,Household  ,516
239,2025-01-05,H005,Handmade Basmati Rice,Mumbai,63,Handmade Basmati Rice,Household  ,664
240,2025-01-05,P001,Podigree Dog Food,Mumbai,26,Podigree Dog Food,Pet Supplies,1498
241,2025-01-05,P002,Matty Dog Bed,Mumbai,80,Matty Dog Bed,Pet Supplies,5950
242,2025-01-05,P003,Park Range Pet Shampoo,Mumbai,80,Park Range Pet Shampoo,Pet Supplies,1196
243,2025-01-05,P004,Old Mint Pet Shampoos,Mumbai,14,Old Mint Pet Shampoos,Pet Supplies,1140
244,2025-01-05,P005,Reflective Dog RainCoat,Mumbai,26,Reflective Dog RainCoat,Pet Supplies,2688
245,2025-01-05,G001,Crafting Chandlar,Mumbai,27,Crafting Chandlar ,Gifting,1376
246,2025-01-05,G002,Desi Kurti,Mumbai,12,Desi Kurti,Gifting,2070
247,2025-01-05,G003,Family Cake and Card Combo,Mumbai,40,Family Cake and Card Combo,Gifting,1180
248,2025-01-05,G004,Exact Flower Vase,Mumbai,118,Exact Flower Vase,Gifting,4520
249,2025-01-05,G005,Friends Dinner Set,Mumbai,114,Friends Dinner Set,Gifting,5590
250,2025-01-06,F001,Prateek England,Mumbai,19,Prateek England,Fashion ,1104
251,2025-01-06,F002,Lucy Phillepe,Mumbai,10,Lucy Phillepe,Fashion ,2485
252,2025-01-06,F003,Badlands,Mumbai,67,Badlands,Fashion ,1425
253,2025-01-06,F004,Allen Dolly,Mumbai,56,Allen Dolly,Fashion ,2640
254,2025-01-06,F005,Bucchi,Mumbai,30,Bucchi,Fashion ,11299
255,2025-01-06,M001,Jhaomi,Mumbai,0,Jhaomi,Mobiles,32400
256,2025-01-06,M002,Samson,Mumbai,4,Samson,Mobiles,20750
257,2025-01-06,M003,Mokia,Mumbai,31,Mokia,Mobiles,12600
258,2025-01-06,M004,Hotorola,Mumbai,39,Hotorola,Mobiles,55000
259,2025-01-06,M005,2plus,Mumbai,40,2plus,Mobiles,39760
260,2025-01-06,B001,Harry putar,Mumbai,34,Harry putar ,Books,2610
261,2025-01-06,B002,4 states,Mumbai,66,4 states ,Books,892
262,2025-01-06,B003,Shaktiman Returns,Mumbai,81,Shaktiman Returns,Books,262
263,2025-01-06,B004,Goli's Travel,Mumbai,73,Goli's Travel,Books,540
264,2025-01-06,B005,Story of Your Life,Mumbai,33,Story of Your Life,Books,940
265,2025-01-06,V001,Prince of Dholakpur,Mumbai,28,Prince of Dholakpur,Video Games ,1222
266,2025-01-06,V002,Nario,Mumbai,5,Nario,Video Games ,610
267,2025-01-06,V003,Pacman,Mumbai,96,Pacman,Video Games ,112
268,2025-01-06,V004,LTA Wise City,Mumbai,17,LTA Wise City,Video Games ,3000
269,2025-01-06,V005,HIFA 2023,Mumbai,4,HIFA 2023,Video Games ,2394
270,2025-01-06,S001,Abibas Football,Mumbai,25,Abibas Football ,Sports / Fitness,3150
271,2025-01-06,S002,Rural Terrain Cycles,Mumbai,21,Rural Terrain Cycles,Sports / Fitness,13559
272,2025-01-06,S003,Monex Badminton Rackets,Mumbai,10,Monex Badminton Rackets,Sports / Fitness,5400
273,2025-01-06,S004,Yoga Mattress,Mumbai,71,Yoga Mattress,Sports / Fitness,621
274,2025-01-06,S005,Rocky Gym Set,Mumbai,19,Rocky Gym Set,Sports / Fitness,14250
275,2025-01-06,ME001,Pyllum Trimmers,Mumbai,9,Pyllum Trimmers,Medicines/Healthcare,1740
276,2025-01-06,ME002,Softcare Electric Toothbrush,Mumbai,9,Softcare Electric Toothbrush,Medicines/Healthcare,1680
277,2025-01-06,ME003,Leg Messager,Mumbai,2,Leg Messager,Medicines/Healthcare,20900
278,2025-01-06,ME004,NoFat Weighing Scale,Mumbai,31,NoFat Weighing Scale,Medicines/Healthcare,747
279,2025-01-06,ME005,Screw Activity Watch,Mumbai,8,Screw Activity Watch,Medicines/Healthcare,1302
280,2025-01-06,K001,SureIt Purifier,Mumbai,5,SureIt Purifier,Kitchen ,4200
281,2025-01-06,K002,Parrot Induction Stove,Mumbai,18,Parrot Induction Stove,Kitchen ,2415
282,2025-01-06,K003,Jalepenoware Tiffin,Mumbai,1,Jalepenoware Tiffin,Kitchen ,424
283,2025-01-06,K004,Yamaka Rex 5000W Mixer Grinder,Mumbai,9,Yamaka Rex 5000W Mixer Grinder,Kitchen ,945
284,2025-01-06,K005,Mr.Clean Dishwasher,Mumbai,12,Mr.Clean Dishwasher,Kitchen ,16140
285,2025-01-06,H001,Blessing Atta 10kg pack,Mumbai,21,Blessing Atta 10kg pack,Household  ,459
286,2025-01-06,H002,Amazing CornFlakes,Mumbai,13,Amazing CornFlakes,Household  ,178
287,2025-01-06,H003,Tata Yellow Label,Mumbai,92,Tata Yellow Label,Household  ,677
