SKU,City,Date,Units
P005,Pune,2025-01-02,61
G001,Pune,2025-01-02,49
G002,Pune,2025-01-02,26
G003,Pune,2025-01-02,47
G004,Pune,2025-01-02,69
G005,Pune,2025-01-02,16
F001,Pune,2025-01-03,23
F002,Pune,2025-01-03,27
F003,Pune,2025-01-03,30
F004,Pune,2025-01-03,22
F005,Pune,2025-01-03,21
M001,Pune,2025-01-03,26
M002,Pune,2025-01-03,27
M003,Pune,2025-01-03,29
M004,Pune,2025-01-03,22
M005,Pune,2025-01-03,22
B001,Pune,2025-01-03,62
B002,Pune,2025-01-03,58
B003,Pune,2025-01-03,73
B004,Pune,2025-01-03,50
B005,Pune,2025-01-03,42
V001,Pune,2025-01-03,69
V002,Pune,2025-01-03,58
V003,Pune,2025-01-03,56
V004,Pune,2025-01-03,60
V005,Pune,2025-01-03,63
S001,Pune,2025-01-03,17
S002,Pune,2025-01-03,24
S003,Pune,2025-01-03,27
S004,Pune,2025-01-03,29
S005,Pune,2025-01-03,18
ME001,Pune,2025-01-03,31
ME002,Pune,2025-01-03,25
ME003,Pune,2025-01-03,24
ME004,Pune,2025-01-03,29
ME005,Pune,2025-01-03,30
K001,Pune,2025-01-03,18
K002,Pune,2025-01-03,17
K003,Pune,2025-01-03,19
K004,Pune,2025-01-03,24
K005,Pune,2025-01-03,35
H001,Pune,2025-01-03,68
H002,Pune,2025-01-03,33
H003,Pune,2025-01-03,27
H004,Pune,2025-01-03,42
H005,Pune,2025-01-03,43
P001,Pune,2025-01-03,41
P002,Pune,2025-01-03,37
P003,Pune,2025-01-03,64
P004,Pune,2025-01-03,67
P005,Pune,2025-01-03,56
G001,Pune,2025-01-03,26
G002,Pune,2025-01-03,52
G003,Pune,2025-01-03,24
G004,Pune,2025-01-03,25
G005,Pune,2025-01-03,23
F001,Pune,2025-01-04,19
F002,Pune,2025-01-04,16
F003,Pune,2025-01-04,20
F004,Pune,2025-01-04,25
F005,Pune,2025-01-04,21
M001,Pune,2025-01-04,23
M002,Pune,2025-01-04,19
M003,Pune,2025-01-04,20
M004,Pune,2025-01-04,20
M005,Pune,2025-01-04,28
B001,Pune,2025-01-04,44
B002,Pune,2025-01-04,36
B003,Pune,2025-01-04,23
B004,Pune,2025-01-04,31
B005,Pune,2025-01-04,42
V001,Pune,2025-01-04,28
V002,Pune,2025-01-04,54
V003,Pune,2025-01-04,60
V004,Pune,2025-01-04,68
V005,Pune,2025-01-04,54
S001,Pune,2025-01-04,24
S002,Pune,2025-01-04,25
S003,Pune,2025-01-04,23
S004,Pune,2025-01-04,43
S005,Pune,2025-01-04,21
ME001,Pune,2025-01-04,16
ME002,Pune,2025-01-04,30
ME003,Pune,2025-01-04,33
ME004,Pune,2025-01-04,26
ME005,Pune,2025-01-04,33
K001,Pune,2025-01-04,22
K002,Pune,2025-01-04,26
K003,Pune,2025-01-04,20
K004,Pune,2025-01-04,26
K005,Pune,2025-01-04,31
H001,Pune,2025-01-04,75
H002,Pune,2025-01-04,20
H003,Pune,2025-01-04,65
H004,Pune,2025-01-04,78
H005,Pune,2025-01-04,48
P001,Pune,2025-01-04,42
P002,Pune,2025-01-04,66
P003,Pune,2025-01-04,51
P004,Pune,2025-01-04,41
P005,Pune,2025-01-04,52
G001,Pune,2025-01-04,25
G002,Pune,2025-01-04,21
G003,Pune,2025-01-04,18
G004,Pune,2025-01-04,34
G005,Pune,2025-01-04,71
F001,Pune,2025-01-05,20
F002,Pune,2025-01-05,28
F003,Pune,2025-01-05,18
F004,Pune,2025-01-05,24
F005,Pune,2025-01-05,26
M001,Pune,2025-01-05,25
M002,Pune,2025-01-05,19
M003,Pune,2025-01-05,19
M004,Pune,2025-01-05,24
M005,Pune,2025-01-05,26
B001,Pune,2025-01-05,50
B002,Pune,2025-01-05,32
B003,Pune,2025-01-05,26
B004,Pune,2025-01-05,68
B005,Pune,2025-01-05,38
V001,Pune,2025-01-05,68
V002,Pune,2025-01-05,67
V003,Pune,2025-01-05,63
V004,Pune,2025-01-05,51
V005,Pune,2025-01-05,51
S001,Pune,2025-01-05,32
S002,Pune,2025-01-05,26
S003,Pune,2025-01-05,33
S004,Pune,2025-01-05,27
S005,Pune,2025-01-05,19
ME001,Pune,2025-01-05,21
ME002,Pune,2025-01-05,18
ME003,Pune,2025-01-05,27
ME004,Pune,2025-01-05,28
ME005,Pune,2025-01-05,19
K001,Pune,2025-01-05,26
K002,Pune,2025-01-05,31
K003,Pune,2025-01-05,36
K004,Pune,2025-01-05,28
K005,Pune,2025-01-05,29
H001,Pune,2025-01-05,78
H002,Pune,2025-01-05,46
H003,Pune,2025-01-05,52
H004,Pune,2025-01-05,46
H005,Pune,2025-01-05,67
P001,Pune,2025-01-05,63
P002,Pune,2025-01-05,38
P003,Pune,2025-01-05,39
P004,Pune,2025-01-05,37
P005,Pune,2025-01-05,49
G001,Pune,2025-01-05,71
G002,Pune,2025-01-05,32
G003,Pune,2025-01-05,27
G004,Pune,2025-01-05,71
G005,Pune,2025-01-05,63
F001,Pune,2025-01-06,19
F002,Pune,2025-01-06,16
F003,Pune,2025-01-06,27
F004,Pune,2025-01-06,18
F005,Pune,2025-01-06,21
M001,Pune,2025-01-06,20
M002,Pune,2025-01-06,29
M003,Pune,2025-01-06,20
M004,Pune,2025-01-06,21
M005,Pune,2025-01-06,29
B001,Pune,2025-01-06,60
B002,Pune,2025-01-06,66
B003,Pune,2025-01-06,69
B004,Pune,2025-01-06,56
B005,Pune,2025-01-06,41
V001,Pune,2025-01-06,25
V002,Pune,2025-01-06,65
V003,Pune,2025-01-06,53
V004,Pune,2025-01-06,67
V005,Pune,2025-01-06,70
S001,Pune,2025-01-06,28
S002,Pune,2025-01-06,23
S003,Pune,2025-01-06,34
S004,Pune,2025-01-06,48
S005,Pune,2025-01-06,28
ME001,Pune,2025-01-06,29
ME002,Pune,2025-01-06,37
ME003,Pune,2025-01-06,28
ME004,Pune,2025-01-06,23
ME005,Pune,2025-01-06,26
K001,Pune,2025-01-06,27
K002,Pune,2025-01-06,18
K003,Pune,2025-01-06,23
K004,Pune,2025-01-06,33
K005,Pune,2025-01-06,18
H001,Pune,2025-01-06,76
H002,Pune,2025-01-06,63
H003,Pune,2025-01-06,52
H004,Pune,2025-01-06,40
H005,Pune,2025-01-06,59
P001,Pune,2025-01-06,39
P002,Pune,2025-01-06,58
P003,Pune,2025-01-06,39
P004,Pune,2025-01-06,53
P005,Pune,2025-01-06,64
G001,Pune,2025-01-06,39
G002,Pune,2025-01-06,38
G003,Pune,2025-01-06,60
G004,Pune,2025-01-06,48
G005,Pune,2025-01-06,35
F001,Pune,2025-01-07,19
F002,Pune,2025-01-07,22
F003,Pune,2025-01-07,27
F004,Pune,2025-01-07,21
F005,Pune,2025-01-07,21
M001,Pune,2025-01-07,25
M002,Pune,2025-01-07,24
M003,Pune,2025-01-07,30
M004,Pune,2025-01-07,28
M005,Pune,2025-01-07,31
B001,Pune,2025-01-07,27
B002,Pune,2025-01-07,63
B003,Pune,2025-01-07,57
B004,Pune,2025-01-07,39
B005,Pune,2025-01-07,44
V001,Pune,2025-01-07,20
V002,Pune,2025-01-07,64
V003,Pune,2025-01-07,58
V004,Pune,2025-01-07,61
V005,Pune,2025-01-07,22
S001,Pune,2025-01-07,32
S002,Pune,2025-01-07,23
S003,Pune,2025-01-07,31
S004,Pune,2025-01-07,37
S005,Pune,2025-01-07,25
ME001,Pune,2025-01-07,26
ME002,Pune,2025-01-07,20
ME003,Pune,2025-01-07,18
ME004,Pune,2025-01-07,22
ME005,Pune,2025-01-07,21
K001,Pune,2025-01-07,23
K002,Pune,2025-01-07,37
K003,Pune,2025-01-07,28
K004,Pune,2025-01-07,23
K005,Pune,2025-01-07,19
H001,Pune,2025-01-07,69
H002,Pune,2025-01-07,24
H003,Pune,2025-01-07,69
H004,Pune,2025-01-07,63
H005,Pune,2025-01-07,65
P001,Pune,2025-01-07,61
P002,Pune,2025-01-07,45
P003,Pune,2025-01-07,48
P004,Pune,2025-01-07,43
P005,Pune,2025-01-07,62
G001,Pune,2025-01-07,48
G002,Pune,2025-01-07,33
G003,Pune,2025-01-07,21
G004,Pune,2025-01-07,20
G005,Pune,2025-01-07,43
F001,Pune,2025-01-08,19
F002,Pune,2025-01-08,25
F003,Pune,2025-01-08,25
F004,Pune,2025-01-08,21
F005,Pune,2025-01-08,18
M001,Pune,2025-01-08,24
M002,Pune,2025-01-08,27
M003,Pune,2025-01-08,27
M004,Pune,2025-01-08,28
M005,Pune,2025-01-08,20
B001,Pune,2025-01-08,60
B002,Pune,2025-01-08,31
B003,Pune,2025-01-08,21
B004,Pune,2025-01-08,20
B005,Pune,2025-01-08,48
V001,Pune,2025-01-08,60
V002,Pune,2025-01-08,66
V003,Pune,2025-01-08,60
V004,Pune,2025-01-08,68
V005,Pune,2025-01-08,74
S001,Pune,2025-01-08,32
S002,Pune,2025-01-08,20
S003,Pune,2025-01-08,32
S004,Pune,2025-01-08,18
S005,Pune,2025-01-08,17
ME001,Pune,2025-01-08,25
ME002,Pune,2025-01-08,23
ME003,Pune,2025-01-08,23
ME004,Pune,2025-01-08,32
ME005,Pune,2025-01-08,28
K001,Pune,2025-01-08,38
K002,Pune,2025-01-08,21
K003,Pune,2025-01-08,22
K004,Pune,2025-01-08,24
K005,Pune,2025-01-08,16
H001,Pune,2025-01-08,75
H002,Pune,2025-01-08,44
H003,Pune,2025-01-08,76
H004,Pune,2025-01-08,72
H005,Pune,2025-01-08,32
P001,Pune,2025-01-08,54
P002,Pune,2025-01-08,49
P003,Pune,2025-01-08,40
P004,Pune,2025-01-08,61
P005,Pune,2025-01-08,58
G001,Pune,2025-01-08,23
G002,Pune,2025-01-08,57
G003,Pune,2025-01-08,53
G004,Pune,2025-01-08,74
G005,Pune,2025-01-08,25
F001,Pune,2025-01-09,24
F002,Pune,2025-01-09,26
F003,Pune,2025-01-09,28
F004,Pune,2025-01-09,28
F005,Pune,2025-01-09,22
M001,Pune,2025-01-09,25
M002,Pune,2025-01-09,20
M003,Pune,2025-01-09,17
M004,Pune,2025-01-09,22
M005,Pune,2025-01-09,27
B001,Pune,2025-01-09,53
B002,Pune,2025-01-09,26
B003,Pune,2025-01-09,17
B004,Pune,2025-01-09,31
B005,Pune,2025-01-09,46
V001,Pune,2025-01-09,17
V002,Pune,2025-01-09,61
V003,Pune,2025-01-09,61
V004,Pune,2025-01-09,64
V005,Pune,2025-01-09,46
S001,Pune,2025-01-09,43
S002,Pune,2025-01-09,17
S003,Pune,2025-01-09,21
S004,Pune,2025-01-09,39
S005,Pune,2025-01-09,19
ME001,Pune,2025-01-09,39
ME002,Pune,2025-01-09,19
ME003,Pune,2025-01-09,37
ME004,Pune,2025-01-09,32
ME005,Pune,2025-01-09,22
K001,Pune,2025-01-09,23
K002,Pune,2025-01-09,27
K003,Pune,2025-01-09,23
K004,Pune,2025-01-09,34
K005,Pune,2025-01-09,20
H001,Pune,2025-01-09,74
H002,Pune,2025-01-09,44
H003,Pune,2025-01-09,66
H004,Pune,2025-01-09,33
H005,Pune,2025-01-09,65
P001,Pune,2025-01-09,43
P002,Pune,2025-01-09,64
P003,Pune,2025-01-09,44
P004,Pune,2025-01-09,48
P005,Pune,2025-01-09,66
G001,Pune,2025-01-09,75
G002,Pune,2025-01-09,29
G003,Pune,2025-01-09,49
G004,Pune,2025-01-09,51
G005,Pune,2025-01-09,61
F001,Pune,2025-01-10,20
F002,Pune,2025-01-10,26
F003,Pune,2025-01-10,24
F004,Pune,2025-01-10,29
F005,Pune,2025-01-10,29
M001,Pune,2025-01-10,32
M002,Pune,2025-01-10,24
M003,Pune,2025-01-10,30
M004,Pune,2025-01-10,19
M005,Pune,2025-01-10,22
B001,Pune,2025-01-10,46
B002,Pune,2025-01-10,25
B003,Pune,2025-01-10,72
B004,Pune,2025-01-10,25
B005,Pune,2025-01-10,36
V001,Pune,2025-01-10,24
V002,Pune,2025-01-10,62
V003,Pune,2025-01-10,62
V004,Pune,2025-01-10,53
V005,Pune,2025-01-10,23
S001,Pune,2025-01-10,23
S002,Pune,2025-01-10,27
S003,Pune,2025-01-10,30
S004,Pune,2025-01-10,29
S005,Pune,2025-01-10,28
ME001,Pune,2025-01-10,19
ME002,Pune,2025-01-10,17
ME003,Pune,2025-01-10,27
ME004,Pune,2025-01-10,26
ME005,Pune,2025-01-10,25
K001,Pune,2025-01-10,30
K002,Pune,2025-01-10,21
K003,Pune,2025-01-10,36
K004,Pune,2025-01-10,24
K005,Pune,2025-01-10,33
H001,Pune,2025-01-10,74
H002,Pune,2025-01-10,78
H003,Pune,2025-01-10,24
H004,Pune,2025-01-10,74
H005,Pune,2025-01-10,28
P001,Pune,2025-01-10,40
P002,Pune,2025-01-10,45
P003,Pune,2025-01-10,53
P004,Pune,2025-01-10,44
P005,Pune,2025-01-10,52
G001,Pune,2025-01-10,56
G002,Pune,2025-01-10,31
G003,Pune,2025-01-10,48
G004,Pune,2025-01-10,34
G005,Pune,2025-01-10,39
F001,Pune,2025-01-11,26
F002,Pune,2025-01-11,28
F003,Pune,2025-01-11,29
F004,Pune,2025-01-11,24
F005,Pune,2025-01-11,16
M001,Pune,2025-01-11,31
M002,Pune,2025-01-11,18
M003,Pune,2025-01-11,20
M004,Pune,2025-01-11,20
M005,Pune,2025-01-11,20
B001,Pune,2025-01-11,16
B002,Pune,2025-01-11,16
B003,Pune,2025-01-11,9
B004,Pune,2025-01-11,21
B005,Pune,2025-01-11,48
V001,Pune,2025-01-11,32
V002,Pune,2025-01-11,59
V003,Pune,2025-01-11,64
V004,Pune,2025-01-11,64
V005,Pune,2025-01-11,68
S001,Pune,2025-01-11,17
S002,Pune,2025-01-11,22
S003,Pune,2025-01-11,32
S004,Pune,2025-01-11,42
S005,Pune,2025-01-11,20
ME001,Pune,2025-01-11,20
ME002,Pune,2025-01-11,24
ME003,Pune,2025-01-11,30
ME004,Pune,2025-01-11,34
ME005,Pune,2025-01-11,25
K001,Pune,2025-01-11,35
K002,Pune,2025-01-11,25
K003,Pune,2025-01-11,21
K004,Pune,2025-01-11,20
K005,Pune,2025-01-11,31
H001,Pune,2025-01-11,79
H002,Pune,2025-01-11,73
H003,Pune,2025-01-11,25
H004,Pune,2025-01-11,32
H005,Pune,2025-01-11,22
P001,Pune,2025-01-11,53
P002,Pune,2025-01-11,39
P003,Pune,2025-01-11,42
P004,Pune,2025-01-11,55
P005,Pune,2025-01-11,57
G001,Pune,2025-01-11,47
G002,Pune,2025-01-11,46
G003,Pune,2025-01-11,48
G004,Pune,2025-01-11,39
G005,Pune,2025-01-11,36
F001,Pune,2025-01-12,23
F002,Pune,2025-01-12,20
F003,Pune,2025-01-12,19
F004,Pune,2025-01-12,20
F005,Pune,2025-01-12,22
M001,Pune,2025-01-12,12
M002,Pune,2025-01-12,9
M003,Pune,2025-01-12,15
M004,Pune,2025-01-12,19
M005,Pune,2025-01-12,10
B001,Pune,2025-01-12,69
B002,Pune,2025-01-12,28
B003,Pune,2025-01-12,70
B004,Pune,2025-01-12,72
B005,Pune,2025-01-12,42
V001,Pune,2025-01-12,69
V002,Pune,2025-01-12,54
V003,Pune,2025-01-12,66
V004,Pune,2025-01-12,55
V005,Pune,2025-01-12,37
S001,Pune,2025-01-12,49
S002,Pune,2025-01-12,24
S003,Pune,2025-01-12,22
S004,Pune,2025-01-12,43
S005,Pune,2025-01-12,26
ME001,Pune,2025-01-12,24
ME002,Pune,2025-01-12,17
ME003,Pune,2025-01-12,22
ME004,Pune,2025-01-12,21
ME005,Pune,2025-01-12,19
K001,Pune,2025-01-12,25
K002,Pune,2025-01-12,20
K003,Pune,2025-01-12,19
K004,Pune,2025-01-12,20
K005,Pune,2025-01-12,32
H001,Pune,2025-01-12,77
H002,Pune,2025-01-12,80
H003,Pune,2025-01-12,73
H004,Pune,2025-01-12,20
H005,Pune,2025-01-12,63
P001,Pune,2025-01-12,45
P002,Pune,2025-01-12,54
P003,Pune,2025-01-12,48
P004,Pune,2025-01-12,48
P005,Pune,2025-01-12,45
G001,Pune,2025-01-12,39
G002,Pune,2025-01-12,45
G003,Pune,2025-01-12,42
G004,Pune,2025-01-12,32
G005,Pune,2025-01-12,42
F001,Pune,2025-01-13,30
F002,Pune,2025-01-13,29
F003,Pune,2025-01-13,33
F004,Pune,2025-01-13,22
F005,Pune,2025-01-13,31
M001,Pune,2025-01-13,16
M002,Pune,2025-01-13,13
M003,Pune,2025-01-13,12
M004,Pune,2025-01-13,11
M005,Pune,2025-01-13,15
B001,Pune,2025-01-13,23
B002,Pune,2025-01-13,31
B003,Pune,2025-01-13,30
B004,Pune,2025-01-13,19
B005,Pune,2025-01-13,45
V001,Pune,2025-01-13,77
V002,Pune,2025-01-13,60
V003,Pune,2025-01-13,64
V004,Pune,2025-01-13,68
V005,Pune,2025-01-13,68
S001,Pune,2025-01-13,23
S002,Pune,2025-01-13,20
S003,Pune,2025-01-13,28
S004,Pune,2025-01-13,45
S005,Pune,2025-01-13,17
ME001,Pune,2025-01-13,25
ME002,Pune,2025-01-13,28
ME003,Pune,2025-01-13,20
ME004,Pune,2025-01-13,29
ME005,Pune,2025-01-13,30
K001,Pune,2025-01-13,25
K002,Pune,2025-01-13,32
K003,Pune,2025-01-13,33
K004,Pune,2025-01-13,28
K005,Pune,2025-01-13,23
H001,Pune,2025-01-13,74
H002,Pune,2025-01-13,32
H003,Pune,2025-01-13,22
H004,Pune,2025-01-13,55
H005,Pune,2025-01-13,25
P001,Pune,2025-01-13,56
P002,Pune,2025-01-13,39
P003,Pune,2025-01-13,39
P004,Pune,2025-01-13,40
P005,Pune,2025-01-13,51
G001,Pune,2025-01-13,47
G002,Pune,2025-01-13,43
G003,Pune,2025-01-13,45
G004,Pune,2025-01-13,47
G005,Pune,2025-01-13,34
F001,Pune,2025-01-14,28
F002,Pune,2025-01-14,32
F003,Pune,2025-01-14,27
F004,Pune,2025-01-14,20
F005,Pune,2025-01-14,27
M001,Pune,2025-01-14,8
M002,Pune,2025-01-14,17
M003,Pune,2025-01-14,18
M004,Pune,2025-01-14,15
M005,Pune,2025-01-14,13
B001,Pune,2025-01-14,66
B002,Pune,2025-01-14,55
B003,Pune,2025-01-14,65
B004,Pune,2025-01-14,20
B005,Pune,2025-01-14,47
V001,Pune,2025-01-14,22
V002,Pune,2025-01-14,57
V003,Pune,2025-01-14,60
V004,Pune,2025-01-14,57
V005,Pune,2025-01-14,50
S001,Pune,2025-01-14,45
S002,Pune,2025-01-14,20
S003,Pune,2025-01-14,33
S004,Pune,2025-01-14,24
S005,Pune,2025-01-14,18
ME001,Pune,2025-01-14,29
ME002,Pune,2025-01-14,29
ME003,Pune,2025-01-14,37
ME004,Pune,2025-01-14,29
ME005,Pune,2025-01-14,32
K001,Pune,2025-01-14,32
K002,Pune,2025-01-14,19
K003,Pune,2025-01-14,28
K004,Pune,2025-01-14,28
K005,Pune,2025-01-14,24
H001,Pune,2025-01-14,73
H002,Pune,2025-01-14,27
H003,Pune,2025-01-14,54
H004,Pune,2025-01-14,41
H005,Pune,2025-01-14,62
P001,Pune,2025-01-14,40
P002,Pune,2025-01-14,41
P003,Pune,2025-01-14,58
P004,Pune,2025-01-14,52
P005,Pune,2025-01-14,41
G001,Pune,2025-01-14,51
G002,Pune,2025-01-14,45
G003,Pune,2025-01-14,38
G004,Pune,2025-01-14,40
G005,Pune,2025-01-14,41
F001,Pune,2025-01-15,30
F002,Pune,2025-01-15,23
F003,Pune,2025-01-15,19
F004,Pune,2025-01-15,31
F005,Pune,2025-01-15,27
M001,Pune,2025-01-15,11
M002,Pune,2025-01-15,18
M003,Pune,2025-01-15,13
M004,Pune,2025-01-15,11
M005,Pune,2025-01-15,13
B001,Pune,2025-01-15,51
B002,Pune,2025-01-15,20
B003,Pune,2025-01-15,17
B004,Pune,2025-01-15,77
B005,Pune,2025-01-15,39
V001,Pune,2025-01-15,21
V002,Pune,2025-01-15,58
V003,Pune,2025-01-15,58
V004,Pune,2025-01-15,56
V005,Pune,2025-01-15,55
S001,Pune,2025-01-15,27
S002,Pune,2025-01-15,19
S003,Pune,2025-01-15,23
S004,Pune,2025-01-15,33
S005,Pune,2025-01-15,18
ME001,Pune,2025-01-15,25
ME002,Pune,2025-01-15,36
ME003,Pune,2025-01-15,18
ME004,Pune,2025-01-15,20
ME005,Pune,2025-01-15,37
K001,Pune,2025-01-15,37
K002,Pune,2025-01-15,20
K003,Pune,2025-01-15,36
K004,Pune,2025-01-15,22
K005,Pune,2025-01-15,29
H001,Pune,2025-01-15,74
H002,Pune,2025-01-15,40
H003,Pune,2025-01-15,72
H004,Pune,2025-01-15,65
H005,Pune,2025-01-15,25
P001,Pune,2025-01-15,40
P002,Pune,2025-01-15,58
P003,Pune,2025-01-15,51
P004,Pune,2025-01-15,53
P005,Pune,2025-01-15,57
G001,Pune,2025-01-15,57
G002,Pune,2025-01-15,41
G003,Pune,2025-01-15,37
G004,Pune,2025-01-15,35
G005,Pune,2025-01-15,33
F001,Pune,2025-01-16,24
F002,Pune,2025-01-16,32
F003,Pune,2025-01-16,26
F004,Pune,2025-01-16,21
F005,Pune,2025-01-16,27
M001,Pune,2025-01-16,10
M002,Pune,2025-01-16,17
M003,Pune,2025-01-16,7
M004,Pune,2025-01-16,17
M005,Pune,2025-01-16,17
B001,Pune,2025-01-16,21
B002,Pune,2025-01-16,77
B003,Pune,2025-01-16,23
B004,Pune,2025-01-16,50
B005,Pune,2025-01-16,48
V001,Pune,2025-01-16,62
V002,Pune,2025-01-16,65
V003,Pune,2025-01-16,62
V004,Pune,2025-01-16,52
V005,Pune,2025-01-16,79
S001,Pune,2025-01-16,37
S002,Pune,2025-01-16,17
S003,Pune,2025-01-16,40
S004,Pune,2025-01-16,20
S005,Pune,2025-01-16,21
ME001,Pune,2025-01-16,25
ME002,Pune,2025-01-16,25
ME003,Pune,2025-01-16,34
ME004,Pune,2025-01-16,38
ME005,Pune,2025-01-16,37
K001,Pune,2025-01-16,31
K002,Pune,2025-01-16,29
K003,Pune,2025-01-16,38
K004,Pune,2025-01-16,18
K005,Pune,2025-01-16,25
H001,Pune,2025-01-16,76
H002,Pune,2025-01-16,55
H003,Pune,2025-01-16,18
H004,Pune,2025-01-16,68
H005,Pune,2025-01-16,50
P001,Pune,2025-01-16,57
P002,Pune,2025-01-16,43
P003,Pune,2025-01-16,48
P004,Pune,2025-01-16,56
P005,Pune,2025-01-16,44
G001,Pune,2025-01-16,54
G002,Pune,2025-01-16,42
G003,Pune,2025-01-16,44
G004,Pune,2025-01-16,48
G005,Pune,2025-01-16,41
F001,Pune,2025-01-17,30
F002,Pune,2025-01-17,31
F003,Pune,2025-01-17,33
F004,Pune,2025-01-17,22
F005,Pune,2025-01-17,29
M001,Pune,2025-01-17,21
M002,Pune,2025-01-17,20
M003,Pune,2025-01-17,17
M004,Pune,2025-01-17,20
M005,Pune,2025-01-17,15
B001,Pune,2025-01-17,47
B002,Pune,2025-01-17,75
B003,Pune,2025-01-17,19
B004,Pune,2025-01-17,76
B005,Pune,2025-01-17,41
V001,Pune,2025-01-17,74
V002,Pune,2025-01-17,60
V003,Pune,2025-01-17,51
V004,Pune,2025-01-17,70
V005,Pune,2025-01-17,27
S001,Pune,2025-01-17,46
S002,Pune,2025-01-17,18
S003,Pune,2025-01-17,16
S004,Pune,2025-01-17,36
S005,Pune,2025-01-17,19
ME001,Pune,2025-01-17,21
ME002,Pune,2025-01-17,18
ME003,Pune,2025-01-17,27
ME004,Pune,2025-01-17,30
ME005,Pune,2025-01-17,20
K001,Pune,2025-01-17,20
K002,Pune,2025-01-17,22
K003,Pune,2025-01-17,20
K004,Pune,2025-01-17,33
K005,Pune,2025-01-17,27
H001,Pune,2025-01-17,78
H002,Pune,2025-01-17,22
H003,Pune,2025-01-17,58
H004,Pune,2025-01-17,22
H005,Pune,2025-01-17,61
P001,Pune,2025-01-17,42
P002,Pune,2025-01-17,56
P003,Pune,2025-01-17,41
P004,Pune,2025-01-17,42
P005,Pune,2025-01-17,38
G001,Pune,2025-01-17,46
G002,Pune,2025-01-17,39
G003,Pune,2025-01-17,47
G004,Pune,2025-01-17,42
G005,Pune,2025-01-17,39
F001,Pune,2025-01-18,25
F002,Pune,2025-01-18,27
F003,Pune,2025-01-18,26
F004,Pune,2025-01-18,20
F005,Pune,2025-01-18,28
M001,Pune,2025-01-18,16
M002,Pune,2025-01-18,9
M003,Pune,2025-01-18,8
M004,Pune,2025-01-18,19
M005,Pune,2025-01-18,17
B001,Pune,2025-01-18,49
B002,Pune,2025-01-18,22
B003,Pune,2025-01-18,43
B004,Pune,2025-01-18,19
B005,Pune,2025-01-18,48
V001,Pune,2025-01-18,18
V002,Pune,2025-01-18,56
V003,Pune,2025-01-18,69
